CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
30001,,,1000,1080,,,1000,1080,,,AAS 010
30001,1030,1080,,,,,,,,,AAS 010
30002,,,1000,1080,,,1000,1080,,,AAS 010
30002,1090,1140,,,,,,,,,AAS 010
63978,,,,,970,1020,,,,,AAS 010
63978,,,1000,1080,,,1000,1080,,,AAS 010
63187,1450,840,,,1450,840,,,,,AAS 016
30012,1090,1200,,,1090,1200,,,,,AAS 080
@,,,,,,,,,,,AAS 099
30021,,,850,960,,,850,960,,,AAS 107A
63191,850,960,,,850,960,,,,,AAS 110
63549,600,710,,,600,710,,,,,AAS 176
@,,,,,,,,,,,AAS 192
@,,,,,,,,,,,AAS 197T
@,,,,,,,,,,,AAS 198
@,,,,,,,,,,,AAS 199
63938,,,,,,,,,,,AAS 202
@,,,,,,,,,,,AAS 298A
@,,,,,,,,,,,AAS 298B
@,,,,,,,,,,,AAS 299
30622,970,1020,,,,,,,,,AGC 290
30623,,,,,970,1080,,,,,AGC 290
@,,,,,,,,,,,AGC 298
@,,,,,,,,,,,AGC 299
32445,970,1080,,,970,1080,,,,,ARE 018
@,,,,,,,,,,,ARE 098
@,,,,,,,,,,,ARE 099
63413,,,540,620,,,540,620,,,ARE 100A
63413,,,,,1090,1140,,,,,ARE 100A
32532,540,590,,,540,590,,,540,590,ARE 100A
32532,1030,1080,,,,,,,,,ARE 100A
32533,540,590,,,540,590,,,540,590,ARE 100A
32533,1090,1140,,,,,,,,,ARE 100A
32534,540,590,,,540,590,,,540,590,ARE 100A
32534,1150,1200,,,,,,,,,ARE 100A
32535,540,590,,,540,590,,,540,590,ARE 100A
32535,1090,1140,,,,,,,,,ARE 100A
32537,,,,,1090,1140,,,,,ARE 100A
32537,540,590,,,540,590,,,540,590,ARE 100A
32536,,,,,1030,1080,,,,,ARE 100A
32536,540,590,,,540,590,,,540,590,ARE 100A
32531,,,540,620,,,540,620,,,ARE 100A
32530,,,,,1090,1140,,,,,ARE 100A
32530,,,540,620,,,540,620,,,ARE 100A
32529,,,1150,1200,,,,,,,ARE 100A
32529,,,540,620,,,540,620,,,ARE 100A
32528,,,1090,1140,,,,,,,ARE 100A
63412,,,,,1030,1080,,,,,ARE 100A
32528,,,540,620,,,540,620,,,ARE 100A
32531,,,,,1150,1200,,,,,ARE 100A
63412,,,540,620,,,540,620,,,ARE 100A
32543,,,630,710,,,630,710,,,ARE 100B
32543,,,,,1090,1140,,,,,ARE 100B
32542,,,,,1030,1080,,,,,ARE 100B
32542,,,630,710,,,630,710,,,ARE 100B
32541,,,,,1090,1140,,,,,ARE 100B
32541,,,630,710,,,630,710,,,ARE 100B
32540,,,,,1030,1080,,,,,ARE 100B
32540,,,630,710,,,630,710,,,ARE 100B
32539,,,1150,1200,,,,,,,ARE 100B
32539,,,630,710,,,630,710,,,ARE 100B
32538,,,1090,1140,,,,,,,ARE 100B
32538,,,630,710,,,630,710,,,ARE 100B
32544,,,540,620,,,540,620,,,ARE 106
32544,,,1030,1080,,,,,,,ARE 106
32545,,,540,620,,,540,620,,,ARE 106
32545,,,1090,1140,,,,,,,ARE 106
32546,,,540,620,,,540,620,,,ARE 106
32546,,,1090,1140,,,,,,,ARE 106
32549,1150,1200,,,,,,,,,ARE 106
32547,,,1150,1200,,,,,,,ARE 106
32548,,,540,620,,,540,620,,,ARE 106
32548,1090,1140,,,,,,,,,ARE 106
32549,,,540,620,,,540,620,,,ARE 106
32547,,,540,620,,,540,620,,,ARE 106
32550,970,1080,,,970,1080,,,,,ARE 112
32554,,,1150,1200,,,,,,,ARE 115A
32555,,,820,900,,,820,900,,,ARE 115A
32555,,,,,1090,1140,,,,,ARE 115A
32556,,,820,900,,,820,900,,,ARE 115A
32556,,,,,1150,1200,,,,,ARE 115A
32557,,,820,900,,,820,900,,,ARE 115A
32557,,,,,1090,1140,,,,,ARE 115A
32558,,,820,900,,,820,900,,,ARE 115A
32558,,,,,1150,1200,,,,,ARE 115A
32551,,,820,900,,,820,900,,,ARE 115A
32551,,,1090,1140,,,,,,,ARE 115A
32552,,,820,900,,,820,900,,,ARE 115A
32552,,,1150,1200,,,,,,,ARE 115A
32553,,,820,900,,,820,900,,,ARE 115A
32553,,,1090,1140,,,,,,,ARE 115A
32554,,,820,900,,,820,900,,,ARE 115A
32559,1090,1200,,,1090,1200,,,,,ARE 119
32563,1090,1140,,,,,,,,,ARE 130
32563,,,630,710,,,630,710,,,ARE 130
32562,,,630,710,,,630,710,,,ARE 130
32562,1030,1080,,,,,,,,,ARE 130
32564,,,1450,810,,,1450,810,,,ARE 133
32564,,,1030,1080,,,,,,,ARE 133
32565,,,1450,810,,,1450,810,,,ARE 133
32565,,,1090,1140,,,,,,,ARE 133
32566,,,910,990,,,910,990,,,ARE 136
32566,,,,,,,1030,1080,,,ARE 136
32567,,,910,990,,,910,990,,,ARE 136
32567,,,,,,,1090,1140,,,ARE 136
32568,850,930,,,850,930,,,,,ARE 138
32568,940,960,,,940,960,,,,,ARE 138
63414,,,450,530,,,450,530,,,ARE 139
63414,,,,,1030,1080,,,,,ARE 139
63415,,,450,530,,,450,530,,,ARE 139
63415,,,,,1090,1140,,,,,ARE 139
32570,,,820,900,,,820,900,,,ARE 142
32571,,,480,590,,,480,590,,,ARE 143
