CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
10001,,,820,900,,,820,900,,,AAS 015
10001,,,1090,1140,,,,,,,AAS 015
10002,,,820,900,,,820,900,,,AAS 015
10002,,,1150,1200,,,,,,,AAS 015
10003,,,820,900,,,820,900,,,AAS 015
10003,,,,,1090,1140,,,,,AAS 015
10004,,,820,900,,,820,900,,,AAS 015
10004,,,,,1150,1200,,,,,AAS 015
10005,970,1080,,,970,1080,,,,,AAS 017
10006,,,630,710,,,630,710,,,AAS 018
10006,,,970,1020,,,,,,,AAS 018
10007,,,630,710,,,630,710,,,AAS 018
10007,,,1030,1080,,,,,,,AAS 018
10008,,,630,710,,,630,710,,,AAS 018
10008,,,,,,,1030,1080,,,AAS 018
10009,,,630,710,,,630,710,,,AAS 018
10009,,,,,,,1090,1140,,,AAS 018
@,,,,,,,,,,,AAS 099
10024,600,710,,,600,710,,,,,AAS 111
10025,850,960,,,850,960,,,,,AAS 123
10026,,,970,1080,,,970,1080,,,AAS 145A
10027,,,1090,1170,,,1090,1170,,,AAS 181
10027,,,,,970,1020,,,,,AAS 181
10028,,,1090,1170,,,1090,1170,,,AAS 181
10028,,,,,1030,1080,,,,,AAS 181
10029,,,,,,,1030,1080,,,AAS 181
10029,,,1090,1170,,,1090,1170,,,AAS 181
44316,,,730,810,,,730,810,,,AAS 190
@,,,,,,,,,,,AAS 192
@,,,,,,,,,,,AAS 197T
@,,,,,,,,,,,AAS 198
@,,,,,,,,,,,AAS 199
44317,,,,,1320,770,,,,,AAS 204
@,,,,,,,,,,,AAS 298A
@,,,,,,,,,,,AAS 298B
@,,,,,,,,,,,AAS 299
10669,970,1020,,,,,,,,,AGC 290
10670,,,,,970,1020,,,,,AGC 290
@,,,,,,,,,,,AGC 298
@,,,,,,,,,,,AGC 299
12419,970,1080,,,970,1080,,,,,ARE 018
@,,,,,,,,,,,ARE 098
@,,,,,,,,,,,ARE 099
12502,,,540,620,,,540,620,,,ARE 100A
12502,,,1030,1080,,,,,,,ARE 100A
12503,,,1090,1140,,,,,,,ARE 100A
12503,,,540,620,,,540,620,,,ARE 100A
12504,,,,,1030,1080,,,,,ARE 100A
12504,,,540,620,,,540,620,,,ARE 100A
12505,,,540,620,,,540,620,,,ARE 100A
12505,,,,,1090,1140,,,,,ARE 100A
12506,,,1090,1140,,,,,,,ARE 100A
12506,,,540,620,,,540,620,,,ARE 100A
12507,,,1150,1200,,,,,,,ARE 100A
12507,,,540,620,,,540,620,,,ARE 100A
12508,1030,1080,,,,,,,,,ARE 100B
